series_no,game_no,rating,color,opening,link,start,analysis,series,creator,move1,move2,move3,move4
32,3,,W,Sicilian,,34.00,,Back to 3000,Danya,,,,
33,1,1720,W,Benoni,https://www.youtube.com/watch?v=FPI9J8_LmJQ&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=33,0.00,,Back to 3000,Danya,,,,
33,2,,W,London / Dutch,,19.00,,Back to 3000,Danya,,,,
34,1,1745,B,King's Indian,https://www.youtube.com/watch?v=wdHXvOBC8bw&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=34,0.00,,Back to 3000,Danya,,,,
34,2,,B,Ponziani,,11.00,,Back to 3000,Danya,,,,
34,3,,B,Accelerated Dragon,,23.15,,Back to 3000,Danya,,,,
35,1,1800,W,Pirc,https://www.youtube.com/watch?v=n781_V5I0ac&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=35,0.00,,Back to 3000,Danya,,,,
35,2,,W,Modern,,9.52,,Back to 3000,Danya,,,,
35,3,,B,London / King's Indian,,19.03,,Back to 3000,Danya,,,,
36,1,1830,W,Alapin Sicilian,https://www.youtube.com/watch?v=9Iu56-1zzfI&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=36,0.00,,Back to 3000,Danya,,,,
36,2,,,1. e4 c6 2. e5 d6,,12.18,,Back to 3000,Danya,1. e4 c6 ,2. e5 d6,,
37,1,1853,W,Englund,https://www.youtube.com/watch?v=hyAhvdIvtzQ&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=37,0.00,,Back to 3000,Danya,,,,
37,2,,B,King's Indian,,15.14,,Back to 3000,Danya,,,,
38,1,1870,B,Smith-Morra Declined,https://www.youtube.com/watch?v=3UqPa5eV2e0&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=38,0.00,,Back to 3000,Danya,,,,
38,2,,W,1. e4 d6 2. e5 c6,,16.30,,Back to 3000,Danya,1. e4 d6 ,2. e5 c6,,
39,1,1900,W,Scandinavian,https://www.youtube.com/watch?v=bIxvPbhuTpo&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=39,0.00,,Back to 3000,Danya,,,,
39,2,,B,Alapin Sicilian,,13.20,,Back to 3000,Danya,,,,
40,1,1918,B,King's Indian,https://www.youtube.com/watch?v=7uxRcomJo7I&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=40,0.00,,Back to 3000,Danya,,,,
40,2,,B,Modern,,19.45,,Back to 3000,Danya,,,,
41,1,1936,W,Alapin Sicilian,https://www.youtube.com/watch?v=VEwKZo8l7yY&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=41,0.00,,Back to 3000,Danya,,,,
42,1,1944,W,Alapin Sicilian,https://www.youtube.com/watch?v=CfCoA7jQu84&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=42,0.00,,Back to 3000,Danya,,,,
42,2,,W,Alapin Sicilian,,14.20,,Back to 3000,Danya,,,,
43,1,1964,W,French Tarrasch,https://www.youtube.com/watch?v=W6nkqNrWVrk&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=43,0.00,,Back to 3000,Danya,,,,
43,2,,B,Accelerated Dragon,,18.45,,Back to 3000,Danya,,,,
44,1,1980,B,King's Indian,https://www.youtube.com/watch?v=gOKiOKPv-X0&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=44,0.00,,Back to 3000,Danya,,,,
44,2,,B,Accelerated Dragon,,13.35,,Back to 3000,Danya,,,,
45,1,2000,B,King's Indian,https://www.youtube.com/watch?v=7f2sPY2U204&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=45,0.00,,Back to 3000,Danya,,,,
45,2,,W,Alapin Sicilian,,12.00,,Back to 3000,Danya,,,,
46,1,2020,W,Ruy Lopez / Berlin,,0.00,,Back to 3000,Danya,,,,
47,1,2030,B,Najdorf,https://www.youtube.com/watch?v=j4-gTbXfwXg&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=48,0.00,,Back to 3000,Danya,,,,
47,2,,W,Alekhine,,15.55,,Back to 3000,Danya,,,,
47,3,,B,Alekhine,,22.00,,Back to 3000,Danya,,,,
48,1,2056,W,QG / Slav,https://www.youtube.com/watch?v=EfHnGTCO1s4&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=48,0.00,,Back to 3000,Danya,,,,
49,1,2065,W,Ruy Lopez / Bird,https://www.youtube.com/watch?v=uVQKL83tZb0&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=49,0.00,,Back to 3000,Danya,,,,
49,2,,W,Alekhine,,24.25,,Back to 3000,Danya,,,,
50,1,2070,B,King's Indian,https://www.youtube.com/watch?v=E0cMsom-N7E&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=50,0.00,,Back to 3000,Danya,,,,
50,2,,B,King's Indian,,19.30,,Back to 3000,Danya,,,,
51,1,2090,B,Rossolimo Sicilian,https://www.youtube.com/watch?v=1AMYr01rkHE&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=51,0.00,,Back to 3000,Danya,,,,
52,1,2100,W,King's Indian / Samisch,https://www.youtube.com/watch?v=JEMVGw2WdCE&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=52,0.00,,Back to 3000,Danya,,,,
52,2,,W,Sicilian,,17.30,,Back to 3000,Danya,,,,
53,1,2120,B,QG / Slav,https://www.youtube.com/watch?v=Z4WjtjMl3j8&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=53,0.00,,Back to 3000,Danya,,,,
53,2,,,Modern,,18.24,,Back to 3000,Danya,,,,
